,Country ,Capital ,Native /Official Language
159,Norfolk Island Norf'k Ailen,Kingston Kingston,"English Norfuk
"
160,Severna MakedonijaСеверна МакедонијаMaqedonia e Veriut,SkopjeСкопје  Shkup,"Macedonian(Cyrillic script)Albanian
"
161,Northern Mariana Islands  Notte Mariånas,Saipan  Saipan,"English Chamorro
"
162,NorgeNoregNorgaVuodnaNöörje,OsloOsloOsloOsloOslo,"Norwegian BokmålNorwegian NynorskNorthern SamiLule SamiSouthern Sami
"
163,‘Umānعُمان,Masqaṭمسقط,"Arabic(Arabic script)
"
164,Pākistānپاکستان,Islāmabādاسلام‌اباد,"EnglishUrdu(Arabic script [Nastaʿlīq hand])
"
165,BelauPalau,NgerulmudNgerulmud,"EnglishPalauan
"
166,"Filasṭīnفلسطين
",Al-Quds Al-Sharqitالقدس الشرقيةRāmallāhرام الله,"Arabic(Arabic script)
"
167,Panamá,Ciudad de Panamá,"Spanish
"
168,Papua New GuineaPapua NiuginiPapua Niu Gini,Port MoresbyPot MosbiPot Mosbi,"EnglishTok PisinHiri Motu
"
169,ParaguayParaguái,AsunciónParaguay,"SpanishGuaraní
"
170,PerúPiruw,LimaLima,"SpanishQuechua/Aymara
"
171,PilipinasPhilippines,"MaynilaManila
","FilipinoEnglish
"
172,Pitcairn Islands  Pitkern Ailen,Adamstown Adamstown,"English Pitcairnese
"
173,Polska,Warszawa,"Polish
"
174,Portugal,Lisboa,"Portuguese
"
175,Puerto Rico,San Juan,"English, Spanish
"
176,Qaṭarقطر,Ad-Dawḥahالدوحة,"Arabic(Arabic script)
"
177,La Réunion,Saint-Denis,"French
"
178,România,București,"Romanian
"
179,Rossiya or RossiâРоссия[5],MoskvaМосква,"Russian(Cyrillic script)
"
180,Rwanda,Kigali,"French, Kinyarwanda, Swahili, English
"
181,Al-Jumhūrīyah al-‘Arabīyah aṣ-Ṣaḥrāwīyah ad-Dīmuqrāṭīyah  الجمهورية العربية الصحراوية الديمقراطية  República Árabe Saharaui Democrática  République Arabe Sahraouie Démocratique,Al-ʿAyyūn لعيون El Aaiún  Laâyoune,"Arabic(Arabic script)SpanishFrench
"
182,Saint-Barthélemy,Gustavia,"French
"
183,"Saint Helena, Ascension and Tristan da Cunha",Jamestown,"English
"
184,Saint Kitts and Nevis,Basseterre,"English
"
185,Saint-Martin,Marigot,"French
"
186,Saint Lucia,Castries,"English
"
187,Saint-Pierre et Miquelon,Saint-Pierre,"French
"
188,Saint Vincent and the Grenadines,Kingstown,"English
"
189,Samoa Sāmoa,Apia Apia,"EnglishSamoan
"
190,San Marino,San Marino,"Italian
"
191,São Tomé e Príncipe,São Tomé,"Portuguese
"
192,Al-Mamlaka Al-‘Arabiyyah as Sa‘ūdiyyahالمملكة العربية السعودية,Ar-Riyāḍالرياض,"Arabic(Arabic script)
"
193,SénégalSenegaal,DakarNdakaaru,"FrenchWolof
"
194,SrbijaСрбија,BeogradБеоград,"Serbian(Cyrillic script)
"
195,SeselSeychellesSeychelles,Victoria or Port Victoria,"Seychellois CreoleFrenchEnglish
"
196,Sierra Leone,Freetown,"English
"
197,SingapuraSingaporeXīnjiāpō新加坡Singapurசிங்கப்பூர்,SingapuraSingaporeXīnjiāpō新加坡Singapurசிங்கப்பூர்,"MalayEnglishMandarin Chinese(Simplified Chinese characters)Tamil(Tamil script)
"
198,Sint MaartenSint Maarten,PhilipsburgPhilipsburg,"DutchEnglish
"
199,Slovensko,Bratislava,"Slovak
"
200,Slovenija,Ljubljana,"Slovene
"
201,Solomon IslandsSolomon Aelan,HoniaraHoniala,"EnglishNeo-Solomonic
"
202,Soomaaliyaaş-Şūmālالصومال,MuqdishoMaqadīshūمقديشو,"SomaliArabic(Arabic script)
"
